가하, 99, 147
바마, 84, 192
아카, 57, 152
바라, 73, 166
카하, 40, 162
바나, 83, 177
자아, 42, 190
라아, 99, 195
차가, 92, 157
다바, 71, 165
나바, 90, 185
마마, 57, 184
가자, 77, 177
타사, 51, 184
카사, 43, 180
차나, 91, 180
다파, 67, 186
자차, 67, 178
사차, 46, 158
바가, 89, 195
차사, 89, 156
나라, 41, 160
카하, 79, 168
라타, 40, 176
자가, 71, 157
사하, 48, 177
가파, 46, 155
다차, 93, 178
라마, 44, 151
파바, 91, 156
가가, 71, 179
가마, 94, 146
사타, 51, 141
가파, 70, 167
라자, 61, 140
나라, 53, 163
파바, 66, 173
바카, 55, 149
하바, 80, 178
다가, 53, 164
사가, 46, 194
타나, 91, 151
아다, 62, 164
아아, 43, 152
나차, 40, 156
바자, 71, 189
나마, 47, 166
마타, 90, 163
아카, 64, 164
파하, 91, 148
나라, 43, 171
바가, 71, 148
차카, 50, 195
하자, 56, 196
마아, 82, 199
차라, 94, 144
사라, 83, 176
하카, 58, 141
사라, 52, 184
사가, 69, 156
차타, 70, 147
다자, 40, 188
하하, 89, 155
차바, 82, 166
차하, 47, 177
라카, 89, 151
차나, 45, 153
카차, 89, 170
바다, 40, 146
사가, 43, 182
파나, 71, 155
카카, 41, 152
가카, 87, 187
자카, 63, 177
타카, 76, 148
가사, 99, 185
하하, 99, 175
하카, 94, 179
사가, 74, 153
자타, 89, 184
카파, 82, 199
다바, 44, 181
차라, 59, 144
카하, 72, 179
차사, 88, 196
바카, 50, 176
파다, 50, 154
마자, 87, 170
나나, 57, 192
라타, 60, 150
나차, 68, 198
라나, 95, 198
하파, 88, 195
나가, 59, 176
파하, 94, 151
차마, 61, 165
사바, 59, 147
타나, 99, 176
하차, 85, 198
가타, 82, 174
나라, 94, 166
카하, 46, 151
사사, 87, 183
자타, 89, 151
파카, 51, 154
자자, 88, 145
하타, 97, 170
바파, 84, 175
카가, 90, 148
가라, 77, 147
차사, 40, 150
라아, 47, 152
가가, 72, 192
아타, 89, 162
다마, 93, 151
자라, 86, 159
파아, 82, 179
다타, 51, 198
타나, 49, 194
바카, 83, 191
사차, 98, 168
마자, 95, 148
자파, 84, 190
타다, 62, 170
나하, 89, 180
아라, 47, 175
카타, 43, 152
나사, 48, 180
자나, 96, 189
사자, 76, 146
타사, 66, 179
자카, 47, 182
가마, 52, 179
나나, 53, 152
라라, 91, 186
바파, 77, 182
타자, 78, 182
라사, 88, 155
가자, 55, 183
가바, 60, 198
차나, 87, 181
바나, 60, 166
차나, 58, 183
자사, 85, 161
타마, 95, 144
사카, 50, 178
라나, 76, 187
타나, 61, 165
차마, 50, 185
가마, 90, 176
아파, 53, 167
파카, 54, 171
카나, 81, 167
마마, 54, 190
가나, 81, 192
라차, 74, 154
마마, 68, 186
다타, 49, 151
라마, 57, 140
하파, 93, 182
마카, 82, 178
나가, 41, 178
라나, 69, 189
다바, 63, 184
마아, 78, 168
나차, 87, 163
사타, 49, 178
마가, 74, 198
나하, 53, 145
사자, 60, 145
파나, 86, 189
아카, 52, 189
파자, 62, 148
자파, 48, 159
아파, 91, 173
자다, 73, 186
나아, 69, 166
아차, 41, 161
차바, 54, 188
하사, 98, 181
파타, 73, 144
카가, 79, 172
아자, 55, 182
카자, 90, 170
나아, 70, 193
나가, 44, 161
다차, 42, 175
파타, 42, 156
사다, 71, 191
카가, 86, 187
차나, 95, 149
타타, 86, 151
마바, 78, 175
나가, 54, 152
사파, 73, 186
다타, 52, 198
라라, 96, 165
자파, 96, 185
타파, 43, 166
바라, 53, 184
다하, 97, 151
아아, 78, 170
라하, 82, 156
아파, 92, 178
가카, 92, 161
다아, 40, 154
하나, 43, 179
사라, 85, 152
파나, 90, 157
자카, 95, 194
파바, 57, 196
자아, 90, 164
바파, 56, 187
다자, 64, 191
마나, 43, 176
마차, 56, 174
파라, 61, 182
라자, 93, 168
가라, 52, 148
마타, 59, 195
파사, 56, 156
다라, 71, 156
마마, 91, 159
자파, 83, 195
차바, 83, 190
파카, 84, 194
차나, 93, 164
타차, 53, 159
타하, 70, 145
라바, 71, 193
아자, 44, 189
자차, 86, 186
바차, 86, 168
아다, 68, 159
바나, 61, 141
라하, 63, 196
타바, 78, 166
아자, 75, 198
파자, 80, 155
다가, 71, 151
마파, 88, 164
가가, 49, 179
바나, 60, 156
다사, 40, 187
아차, 43, 188
바파, 44, 142
다타, 47, 147
마마, 90, 177
마나, 86, 158
가아, 55, 150
아가, 52, 177
바차, 96, 143
파라, 45, 163
타나, 68, 178
자자, 98, 149
파하, 44, 185
다사, 99, 192
아하, 85, 154
바카, 83, 166
아카, 54, 192
마마, 45, 196
나파, 82, 195
아가, 42, 156
마자, 78, 147
하가, 75, 163
라다, 91, 148
카자, 78, 160
아가, 72, 145
아타, 92, 141
라자, 78, 196
마자, 54, 193
타아, 45, 186
차자, 49, 145
타바, 51, 173
다나, 52, 160
아라, 67, 142
라마, 77, 170
타마, 41, 162
라사, 58, 176
아자, 72, 192
나나, 84, 188
바라, 40, 152
하차, 49, 170
마차, 54, 158
자바, 55, 174
마하, 64, 194
가사, 48, 159
차파, 65, 155
차마, 88, 197
파타, 47, 182
바자, 92, 162
자마, 73, 179
가라, 85, 171
하카, 92, 192
아자, 86, 194
나자, 79, 156
마라, 72, 178
자파, 47, 199
다아, 45, 169
나가, 54, 142
자하, 68, 161
사다, 51, 191
타자, 57, 189
자차, 96, 197
아자, 46, 140
라아, 99, 188
타마, 67, 162
바마, 54, 165
카카, 79, 155
가카, 71, 175
가나, 58, 182
다가, 91, 154
하파, 69, 171
마카, 67, 170
파바, 85, 173
라나, 69, 175
차파, 46, 162
차자, 99, 192
마바, 76, 149
가가, 76, 194
사카, 59, 184
하하, 91, 190
파아, 70, 192
마바, 43, 179
카마, 63, 189
파나, 48, 166
마타, 75, 142
파자, 73, 173
자마, 72, 158
마라, 67, 180
나바, 54, 140
다파, 46, 177
아라, 72, 152
타가, 79, 159
아다, 40, 141
마마, 56, 198
가사, 67, 154
사타, 77, 187
파가, 51, 157
하가, 64, 185
파사, 67, 176
가라, 46, 196
파사, 88, 143
라자, 40, 181
자파, 41, 140
카카, 77, 186
다가, 96, 173
하파, 51, 150
아파, 60, 146
나파, 46, 140
파아, 72, 172
다자, 54, 169
자자, 95, 148
파사, 75, 154
사라, 65, 189
사타, 66, 170
다바, 52, 143
라차, 99, 185
사사, 46, 192
사차, 44, 176
타마, 96, 198
타파, 88, 152
카자, 61, 155
바사, 44, 193
나아, 67, 143
카하, 44, 190
하파, 83, 185
아카, 57, 169
바차, 70, 166
파가, 76, 166
차나, 71, 164
바타, 83, 166
가아, 74, 197
다사, 72, 163
하하, 46, 175
자아, 72, 186
가사, 92, 178
나바, 89, 181
카사, 89, 179
자차, 48, 188
사아, 92, 193
바사, 57, 156
카가, 93, 141
다마, 65, 186
라자, 95, 164
다가, 57, 167
타마, 87, 189
사사, 62, 146
나마, 47, 174
차마, 94, 148
카타, 42, 141
하파, 96, 146
라마, 53, 176
카타, 96, 199
아카, 77, 183
바차, 97, 190
바다, 49, 176
아차, 82, 199
카마, 96, 180
타카, 77, 169
사마, 83, 159
하파, 93, 188
차자, 51, 161
아나, 67, 155
바나, 55, 171
마사, 49, 141
가바, 41, 180
가자, 89, 140
사카, 68, 198
나타, 84, 148
카타, 65, 194
가아, 61, 178
타타, 62, 181
다파, 50, 197
하타, 69, 197
라자, 84, 198
파파, 76, 193
나타, 73, 162
카마, 85, 195
차차, 87, 141
사하, 87, 159
나마, 92, 162
아다, 45, 169
나하, 40, 175
바다, 62, 161
마라, 59, 176
파카, 91, 171
마타, 57, 142
차라, 41, 174
다파, 85, 181
나다, 83, 167
차마, 80, 177
아바, 93, 146
사마, 64, 176
아나, 48, 172
사바, 95, 147
가하, 61, 158
파바, 72, 192
바카, 65, 154
자바, 43, 163
자아, 74, 157
다바, 87, 194
나바, 71, 190
사타, 41, 188
마마, 94, 178
바사, 55, 167
자다, 54, 142
파타, 82, 187
자가, 59, 173
다하, 45, 143
차라, 87, 194
사하, 64, 141
바라, 46, 182
나하, 74, 141
다바, 68, 159
타사, 58, 186
바아, 63, 151
다타, 52, 193
라파, 64, 199
타마, 67, 154
아마, 64, 193
나바, 54, 151
바바, 53, 191
타바, 84, 162
타카, 62, 192
아사, 74, 151
차파, 53, 147
사자, 87, 143
마타, 43, 154
라아, 91, 178
하라, 84, 179
타타, 63, 170
차바, 47, 170
파라, 88, 186
파사, 64, 152
바자, 78, 141
하파, 43, 149
라자, 62, 148
나하, 92, 166
차차, 69, 179
차자, 70, 189
아타, 72, 147
다가, 63, 164
사카, 85, 180
하아, 64, 198
라가, 77, 140
바사, 45, 180
파자, 64, 162
차나, 47, 158
라아, 71, 197
타타, 71, 148
파자, 77, 174
파나, 89, 168
마파, 58, 191
차파, 93, 162
마나, 63, 143
라마, 89, 150
나나, 90, 198
마다, 99, 156
나차, 81, 164
